cell no.,A,B,C,D,E,F,G,H,I,size
510177,0.960680128,1.110169492,1.003171726,1.346911066,3.21724372,0.970881639,0.944841675,1.007012623,1.146607039,medium
510182,1.041172366,1.062567422,1.199813259,1.190308989,0.204091724,1.111037891,0.835740072,1.045706371,1.114749587,medium
510185,1.053616825,0.978909246,1.270700637,2.760620525,0.993504576,1.087341772,1.121401152,1.212389381,2.714060032,medium
510187,0.957042254,0.874362245,0.96151294,6.144628099,1.15498155,1.097826087,0.910700539,0.941637631,2.519858782,medium
510188,1.048340022,0.942975355,1.454721684,1.75963993,1.558651977,1.112137757,1.187692986,1.161100196,1.289004781,medium
510189,0.951692409,0.961051005,0.721190781,2.935569285,1.352524928,0.957496835,0.818164864,0.939832869,1.426762427,medium
510194,0.980736544,0.956196581,1.355758267,2.886752137,1.050679852,0.960412371,0.754462342,0.780073462,1.290345821,medium
510195,1.160997732,1,1.060037523,0.967254408,2.678153691,1.112508498,0.750505732,0.674967658,1.29296875,medium
510197,0.938267014,0.877376426,0.788544153,1.871667259,1.057025835,0.981326465,0.710584588,0.90550675,1.663232453,medium
510204,1.077582991,1.096774194,0.990348924,2.296152971,0.781758327,0.96495782,1.006493506,0.851775148,1.110015408,medium
510206,1.015258483,1.066021345,0.973439274,3.172503243,0.781349628,1.128909048,1.094815825,1.186554622,0.881343467,medium
510209,0.927130506,0.84,0.672971837,0.991120977,2.925312145,0.691980972,0.945144183,1.035070628,0.946074202,medium
510211,0.925396014,1.050237969,0.865099642,0.988466757,1.696012429,3.158519872,1.687628442,0.844566713,1.415341441,medium
510213,1.008009968,0.947238565,1.303463855,0.90040107,0.909372846,1.02758216,1.166134185,1.238666667,1.015817223,medium
510214,1.103184399,2.247223013,1.00861244,0.739288668,1.329053277,0.855903512,0.460110995,0.532111899,0.960847536,medium
510215,1.40754717,1.133788193,1.904142229,1.226862981,2.6953125,1.234841193,1.496826516,1.192389006,2.054266958,medium
510217,1.171392298,1.250284673,1.571168831,4.897750985,1.993191489,2.47357513,1.513987932,1.133265857,0.927536232,medium
510218,0.988254354,1.053083528,1.030282638,4.151014275,0.101494826,0.980894154,0.859060403,0.934854619,1.607738729,medium
510222,0.905776781,0.782672345,1.263431261,1.068887451,1.058265382,1.08727935,1.340069371,3.126755218,1.080276524,medium
510224,1.031629393,0.732987106,1.174193548,3.676906494,4.92922252,5.334825175,1.328002326,0.920954163,1.462416481,medium
510225,1.332394366,1.111285266,1.018001385,1.274720812,1.204970039,0.982806434,1.358497583,1.394736842,1.193767573,medium
510229,0.94370229,1.021012745,1.323848238,1.111366623,1.226756198,1.121151936,1.954154728,0.365107186,3.133708351,medium
510053,1.10424503,0.260204082,3.989276139,1.089696071,1.044034091,0.962909091,0.797857143,0.863214838,1.015151515,large
510077,1.013734467,1.04532967,0.920675105,5.68542654,0.997050147,1.012170385,1,1.006036217,1.14689781,large
510092,1.158683882,1.31744868,1.045908184,1.140131579,5.736923077,1.001772808,0.85666581,0.822336562,0.911248034,large
510101,1.121705426,1.291128696,0.89936918,3.95171397,0.822437673,1.019318581,0.882889734,0.910528346,0.80884009,large
510102,1.081542842,0.963900609,1.175280899,8.999101931,1.022655427,1.297690015,1.299632353,1.404761905,0.993666529,large
510104,1.028594939,1.046141282,1.084543126,3.863299956,0.995221843,1.001753946,0.843794579,1.109331999,1.474588153,large
510106,1.009076763,0.991429292,1.245881256,1.85624155,1.010651248,1.051783265,1.11839396,1.113062569,1.375099128,large
510129,0.986642599,0.998620214,1.101554908,1.117300902,4.333333333,1.031681145,1.056678167,1.461377871,1.139216905,large
510142,1.058248388,1.095925633,1.125546103,4.700881489,0.979963198,1.419815281,1.427780706,1.388846833,1.533522191,large
510143,0.918690006,1.152045279,1.07371484,3.182852807,1.143705735,0.978148047,0.9051416,0.978146611,1.095665172,large
510144,0.956640134,0.956813605,0.776043145,2.211366385,1.005774457,1.016949153,0.762043796,0.921679451,1.027015964,large
510160,0.943854325,0.895035184,1.069694597,1.988548778,0.290927522,1.094339623,0.958412098,1.068719776,1.094890511,large
510166,0.984724495,0.915908464,0.796458087,6.781952898,1.081954887,1.04003268,0.446254507,0.97987821,1.620399975,large
510170,0.965654375,0.921682379,1.062130178,1.440536621,1.084603421,1.015457788,0.929343308,0.876491647,0.876370434,large
510180,0.956963053,1.011305461,0.852758926,1.415150233,4.65631929,0.961912823,0.700869197,0.71837655,0.905056384,large
510183,1.096914557,0.608035714,0.994334278,2.836380684,0.979623824,1.026724138,1.041335453,1.16,0.813393529,large
510200,0.996043521,1.168079096,0.753751103,1.027039309,0.56995727,1.009402547,0.572376357,0.862254713,1.107922393,large
510201,1.249320652,0.932242991,1.11722659,4.568288215,0.300501753,1.129375162,1.212729844,1.210218978,1.171436434,large
510202,1.022638092,1.043707832,0.89430399,0.984298332,0.90575304,2.153460695,0.720870425,0.755061817,1.264046191,large
510078,0.982978723,1.002932551,1.29622093,1.044467641,5.91017689,1.377547916,1.284896401,1.383690987,0.868945224,large
510190,3.172264355,3.93120155,0.709035222,1.13552759,1.027475673,1.042971148,1.021130782,0.955079122,1.037168142,large
510193,1.017364203,0.973251815,0.862676056,2.839045553,0.947881743,1.01272578,0.921477232,1.005557614,1.620426829,large
510198,0.819957005,1.088819989,0.887596094,0.917647059,1.60741573,1.019749652,0.992932001,1.131905008,1.03197026,large
510107,1.011402509,0.880175025,1.01399753,8.050046627,1.861189802,0.662100457,1.118811881,0.922431866,3.022006472,large
510151,0.907032755,1.413466334,0.998293515,3.91920591,1.39009009,1.170278638,0.919608677,1.234490011,1.179513185,large
511001,1.168900438,1.062023773,0.933813135,1.186361438,1.553963606,0.839575221,1.136117788,0.918564703,0.850425768,small
511002,0.942315789,0.919222344,1.131007636,0.979825694,2.445923689,0.631578947,0.925217975,1.00988287,0.740659597,small
511003,0.889916147,0.969580809,0.914691943,0.996256434,2.239562624,0.711241461,0.967129877,0.995454545,0.963463398,small
